,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance
9233,1,38,13,8475.64,794.3033333,10,10,22,3,50,25.0,5.76,11.0,0,2033.14,36.94031041,123,2,12.79212258,98.34895697,258.2892538
1616,1,26,4,18115.21,1327.600833,9,8,18,6,15,10.0,9.18,11.0,2,1440.76,36.85624211,233,2,62.8467164,46.32971141,313.5836555
2846,0,51,10,31534.94,2426.911667,5,6,1,0,4,0.0,5.99,4.0,1,1258.83,26.97403098,354,1,0.0,25.08851422,457.6026524
7247,4,34,1,10227.53,987.2941667,9,6,22,6,24,17.0,2.38,8.0,0,1610.77,29.99701171,99,2,42.27073229,124.961377,221.4973073
7318,5,38,6,17610.81,1391.5675,9,9,16,9,45,27.0,8.45,8.0,0,1798.75,27.21055843,243,2,66.06274348,53.63695042,279.4570561
7198,4,27,13,86765.12,7492.426667,3,3,10,2,18,8.0,6.84,1.0,1,948.25,30.22359121,244,1,110.9561396,197.6659222,720.6206049
10820,5,26,12,112933.0631161423,9348.157973593728,3,3,12,0,6,4.18966104596989,9.099835632978749,6.18966104596989,1,1110.6103611062288,30.405652118113437,264,1,30.369448916947906,611.0156092803003,573.4307391802283
1833,7,25,5,98436.6,8079.05,8,6,10,0,32,15.0,10.28,3.0,1,329.72,36.61177139,249,0,0.0,359.7161069,728.1888931
3578,6,29,8,38158.8,2992.9,6,8,30,8,61,16.0,29.34,7.0,0,2678.85,32.49224452,75,2,248.4396201,188.9518081,131.8985718
8845,5,55,7,88044.6,7073.05,5,4,5,0,28,2.0,10.57,7.0,1,344.46,32.88976973,399,1,0.0,165.1121727,782.1928273
9897,1,41,8,49224.84,4225.07,8,6,26,7,41,20.0,7.94,11.0,0,2589.29,28.21417961,168,2,166.2795555,64.35568862,431.8717559
8995,0,22,7,33610.36,2857.863333,5,5,27,7,20,15.0,17.91,14.0,2,2228.91,29.62112582,94,2,162.7668725,281.4374451,131.5820157
6662,1,54,1,21553.81,2065.150833,4,5,12,4,7,11.0,3.17,5.0,1,1187.52,32.07269658,386,0,61.66534438,27.40692617,357.4428128
7925,2,34,3,32753.05,2833.420833,2,7,6,4,7,3.0,3.55,3.0,1,1300.3,29.81744526,360,0,79.18277054,364.7890437,129.3702691
8970,5,28,7,73995.12,6043.26,4,4,15,4,30,13.0,18.9,12.0,2,1933.79,34.50053203,145,2,190.9071513,83.38787315,580.0309755
782,0,43,14,127614.78,10409.565,5,6,7,4,6,10.0,1.9,3.0,1,1264.42,37.59394099,312,1,326.7097896,718.4228229,285.8238876
591,4,54,4,117851.07,9870.9225,-1,6,7,0,27,1.0,4.97,1.0,1,607.78,30.70916869,251,1,0.0,352.801158,884.291092
1156,5,17,1,19040.44,1865.703333,6,5,5,7,16,11.0,9.05,7.0,2,2492.06,40.45551498,102,2,82.14254011,84.04464153,280.3831517
1536,3,37,6,120389.55,10196.4625,1,7,8,0,-1,5.0,3.37,1.0,1,846.65,33.73258461,328,1,0.0,88.06316534,1171.583085
9696,7,37,7,118111.08,10072.59,2,6,7,3,27,1.0,4.55,1.0,1,390.11,28.23258972,242,1,219.9504576,92.83691839,934.471624
7762,1,22,5,11138.425,911.2020833,3,7,20,2,13,10.0,7.95,2.0,2,878.15,35.37931187,312,2,11.12529943,49.6250768,290.3698321
3455,6,16,2,58820.44,4763.703333,8,9,24,8,48,19.0,29.97,9.0,0,3984.74,24.62404404,111,2,280.1873856,117.8874939,328.2954538
9264,6,33,11,75881.16,6535.43,10,6,16,6,32,22.0,9.94,11.0,0,2321.23,34.23130426,124,2,232.3847176,128.1096506,533.0486318
6874,3,45,11,14320.27,1026.355833,7,10,27,7,53,21.0,10.49,6.0,0,1482.09,33.89069312,131,2,74.27013134,71.28545706,237.0799949
3279,0,-500,13,80906.36,6990.196667,7,7,23,6,42,16.0,5.43,9.0,0,4841.43,25.30252273,107,0,403.4848775,113.1498879,432.3849013
2401,1,32,3,18514.92,1660.91,9,5,18,6,29,13.0,15.3,16.0,0,2866.5,39.45018203,128,2,49.67025367,160.5170657,245.9036806
5306,0,35,7,15663.65,1246.304167,4,4,19,4,14,16.0,10.8,7.0,2,2000.62,37.27746542,68,2,27.02678207,100.8809002,286.7227344
3274,6,28,4,44572.43,3757.369167,2,4,10,-100,4,6.0,4.09,1.0,1,198.87,28.89804304,183,1,0.0,109.7912256,515.945691
11824,5,33,5,33001.92594219774,2846.6114746971566,3,4,7,0,21,13.816283054043229,2.6996434016906745,2.394572315318924,1,968.9744848151577,31.560646300905038,367,1,0.0,99.29647581827992,451.14756427024696
5680,3,28,8,16090.31,1079.859167,7,5,23,2,54,20.0,0.61,8.0,0,1673.31,24.32119704,165,2,17.39779271,114.1874644,266.4006595
2152,1,25,4,17397.56,1681.796667,9,10,15,6,47,20.0,17.62,9.0,0,1435.6,34.39734579,230,2,21139.0,87.67642526,291.1978641
3721,3,42,7,18037.47,1272.1225,0,6,10,4,6,2.0,9.41,3.0,1,173.84,23.84053166,355,1,52.76965268,16.61730721,297.8252901
4541,7,45,6,69279.38,5836.281667,3,5,8,0,6,10.0,9.25,1.0,1,1475.0,27.09441865,243,0,0.0,207.3919828,626.2361839
12445,5,40,11,114335.74907811359,9287.088660906646,2,3,6,4,5,9.536994761922045,5.6866590571459685,1.3024663174614697,1,771.2545448824693,39.446871609496775,342,1,43290.27642510157,360.70680792514474,657.5975447833573
9745,3,37,8,28360.5,2086.375,8,5,14,-100,12,19.0,11.26,4.0,2,2404.64,32.69441853,167,2,45.17032541,227.5540172,225.9131574
8799,3,33,1,16408.77,1644.3975,4,6,23,3,27,13.0,17.11,474.0,2,1756.68,36.74817853,200,2,37.97203587,38.44946706,328.0182471
9137,2,46,1,24199.24,1951.603333,3,7,6,1,26,14.0,0.67,2.0,1,784.35,34.00487515,254,1,13.88630543,36.25883985,405.015188
2816,1,42,4,34019.26,2956.938333,6,5,29,7,56,16.0,6.46,12.0,0,1747.01,36.35960494,186,2,174.0963657,302.5245886,109.072879
7753,1,46,11,80633.22,6463.435,2,4,6,4,12,5.0,6.27,1.0,1,295.42,40.46223385,329,1,142.8242214,146.6888896,606.8303891
11336,4,21,3,38531.840622782045,3429.2515486488765,4,2,3,1,4,1.311970342991386,8.045635588410336,0.12478813719655446,1,529.0159322341739,24.83455560338506,357,1,28.620513048696328,122.58932144461876,442.3392611231877
