ID,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score
4,April,23,Scientist,19114.12,,3,4,3,4,5,4,6.27,4,Good,809.98,31.37786187,268,No,49.57494921,199.4580744,223.4513097,Good
5,May,23,Scientist,19114.12,1824.843333,3,4,3,4,6,,11.27,4,Good,809.98,24.79734691,269,No,49.57494921,41.42015309,341.489231,Good
6,June,23,Scientist,19114.12,,3,4,3,4,8,4,9.27,4,Good,809.98,27.26225871,270,No,49.57494921,62.43017233,340.4792118,Good
10,February,28,Teacher,34847.84,3037.986667,2,4,6,1,7,1,7.42,2,Good,605.03,38.55084843,320,No,18.81621457,40.39123783,484.5912143,Good
13,May,28,Teacher,34847.84,3037.986667,2,4,6,1,3,1,6.42,2,Good,605.03,34.97789475,323,No,18.81621457,130.1154202,444.8670319,Good
14,June,28,Teacher,34847.84,3037.986667,2,4,6,1,3,0,5.42,2,Good,605.03,33.3810102,324,No,18.81621457,43.47719014,481.5052619,Good
15,July,28,Teacher,34847.84,,2,4,6,1,3,4,5.42,2,Good,605.03,31.13170161,325,NM,18.81621457,70.10177421,464.8806779,Good
16,August,28,Teacher,34847.84,3037.986667,2,4,6,1,3,4,5.42,2,Good,605.03,32.93385629,326,No,18.81621457,218.9043435,356.0781086,Good
17,January,34,_______,143162.64,12187.22,1,5,8,3,5,8,7.1,3,Good,1303.01,28.61673482,213,No,246.9923195,168.4137027,1043.315978,Good
18,February,34,Engineer,143162.64,12187.22,1,5,8,3,13,6,7.1,3,Good,1303.01,41.70257342,214,No,246.9923195,232.8603838,998.8692968,Good
21,May,34,_______,143162.64,12187.22,1,5,8,3,10,5,7.1,3,Good,1303.01,31.37614957,217,No,246.9923195,430.9475279,810.7821527,Good
22,June,34,Engineer,143162.64,12187.22,1,5,8,967,8,6,7.1,3,Good,1303.01,39.78399346,218,No,246.9923195,257.8080994,963.9215811,Good
42,February,31,_______,73928.46,5988.705,4,5,8,0,8,7,10.14,2,Good,548.2,42.7698644,384,NM,0,172.9392145,705.9312855,Good
44,April,31,Lawyer,73928.46,5988.705,4,5,8,0,8,7,10.14,2,Good,548.2,30.20165771,386,No,0,618.2023913,270.6681087,Good
